LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_ADDRESS,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_SOC_NAME,LCA_CASE_JOB_TITLE,FULL_TIME_POS,TOTAL_WORKERS,LCA_CASE_WORKLOC1_CITY,LCA_CASE_WORKLOC1_STATE,LCA_CASE_WORKLOC2_CITY,LCA_CASE_WORKLOC2_STATE
CCH INCORPORATED,2700 LAKE COOK ROAD,RIVERWOODS,IL,60015,"Software Developers, Applications",APPLICATIONS DEVELOPER III,Y,1,RIVERWOODS,IL,,
"FRONTIER TECHNOLOGIES, LLC","1601 BOND STREET, SUITE 305",NAPERVILLE,IL,60563,"Software Developers, Applications",SOFTWARE ENGINEER,Y,1,ELMHURST,IL,,
NICO HOLDINGS LLC,222 W. ADAMS STREET,CHICAGO,IL,60606,Operations Research Analysts,FINANCIAL ENGINEER - MODELING,Y,1,CHICAGO,IL,,
"SHELBY MEMORIAL HOSPITAL ASSOCIATION, INC.",200 SOUTH CEDAR STREET,SHELBYVILLE,IL,62565,"Physicians and Surgeons, All Other",PHYSICIAN,Y,1,SHELBYVILLE,IL,,
WOLTERS KLUWER UNITED STATES INC.,2700 LAKE COOK ROAD,RIVERWOODS,IL,60015,"Software Developers, Applications",APPLICATIONS DEVELOPER IV,Y,1,CHICAGO,IL,,
"MATRIX MANAGEMENT SYSTEMS, INC.",2500 WEST HIGGINS ROAD,HOFFMAN ESTATES,IL,60169,"Computer Occupations, All Other",SOFTWARE QA ANALYST,Y,1,EVANSTON,IL,,
"SONOMA PARTNERS, LLC",525 W. MONROE,CHICAGO,IL,60661,"Software Developers, Applications",DEVELOPER,Y,1,CHICAGO,IL,,
"MATRIX MANAGEMENT SYSTEMS, INC.",2500 WEST HIGGINS ROAD,HOFFMAN ESTATES,IL,60169,"Computer Occupations, All Other",SOFTWARE QA ANALYST,Y,1,EVANSTON,IL,,
"MATRIX MANAGEMENT SYSTEMS, INC.",2500 WEST HIGGINS ROAD,HOFFMAN ESTATES,IL,60169,Computer Programmers,PROGRAMMER ANALYST,Y,1,EVANSTON,IL,,
"MATRIX MANAGEMENT SYSTEMS, INC.",2500 WEST HIGGINS ROAD,HOFFMAN ESTATES,IL,60169,Computer Programmers,PROGRAMMER ANALYST,Y,1,EVANSTON,IL,,
"MATRIX MANAGEMENT SYSTEMS, INC.",2500 WEST HIGGINS ROAD,HOFFMAN ESTATES,IL,60169,"Computer Occupations, All Other",SOFTWARE QA ANALYST,Y,1,EVANSTON,IL,,
TATE & LYLE AMERICAS LLC,2200 EAST ELDORADO STREET,DECATUR,IL,62521,Accountants and Auditors,SENIOR AUDITOR,Y,1,DECATUR,IL,,
WOLTERS KLUWER UNITED STATES INC.,2700 LAKE COOK ROAD,RIVERWOODS,IL,60015,"Computer Occupations, All Other",IT QUALITY ANALYST IV,Y,1,CHICAGO,IL,,
"ENFUSION, LLC",30 SOUTH WACKER DRIVE,CHICAGO,IL,60606,"Software Developers, Applications",SENIOR JAVA DEVELOPER,Y,1,CHICAGO,IL,,
NICO HOLDINGS LLC,222 W. ADAMS STREET,CHICAGO,IL,60606,Financial Analysts,QUANTITATIVE TRADING ANALYST,Y,1,CHICAGO,IL,,
"CHICAGO MERCANTILE EXCHANGE, INC.",20 SOUTH WACKER DRIVE,CHICAGO,IL,60606,"Software Developers, Systems Software",TECHNOLOGY ARCHITECT,Y,1,CHICAGO,IL,,
"PLS FINANCIAL SERVICES, INC.",ONE SOUTH WACKER DRIVE,CHICAGO,IL,60606,Computer Systems Analysts,BUSINESS ANALYST,Y,1,CHICAGO,IL,,
UNITED METHODIST HOMES & SERVICES,1415 W. FOSTER AVENUE,CHICAGO,IL,60640-2288,Physical Therapists,PHYSICAL THERAPIST,Y,1,CHICAGO,IL,,
"VTEKH, INC.",915 NORTH PLUM GROVE ROAD,SCHAUMBURG,IL,60173,Computer Programmers,COMPUTER PROGRAMMER,Y,1,CHICAGO,IL,SCHAUMBURG,IL
"KINNEY ASSET MANAGEMENT, LLC",980 NORTH MICHIGAN AVE,CHICAGO,IL,60611,Financial Analysts,JUNIOR EQUITY ANALYST,Y,1,CHICAGO,IL,,
COREY DUNNE PC,1147 W. OHIO STREET,CHICAGO,IL,60642,Interior Designers,INTERIOR DESIGNER,N,1,CHICAGO,IL,,
"EZ TEK SOLUTIONS, INC.",4260 WESTBROOK DRIVE,AURORA,IL,60504,"Software Developers, Applications",SOFTWARE ENGINEER,Y,1,MOSSIVILLE,IL,,
GILBANE BUILDING COMPANY,8550 W. BRYN MAWR AVENUE,CHICAGO,IL,60631,Construction Managers,PROJECT ENGINEER,Y,1,CHICAGO,IL,,
UNIVERSITY OF ILLINOIS,352 HENRY ADMINISTRATION BUILDING,URBANA,IL,61801,"Chemistry Teachers, Postsecondary",LECTURER,Y,1,URBANA,IL,,
COMMUNITY UNIT SCHOOL DIST NO 220,310 JAMES ST,BARRINGTON,IL,60010,Network and Computer Systems Administrators,COMPUTER APPLICATIONS AND INFORMATION SYSTEMS ADMI,Y,1,BARRINGTON,IL,,
"SKML, LLC","1755 PARK STREET, SUITE 200",NAPERVILLE,IL,60563,"Software Developers, Applications",PROGRAMMER ANALYST,Y,1,MORTON,IL,,
"ORBITZ WORLDWIDE, LLC",500 WEST MADISON STREET,CHICAGO,IL,60661,"Software Developers, Applications",SENIOR NETWORK ENGINEER,Y,1,CHICAGO,IL,,
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.,227 W. MONROE STREET,CHICAGO,IL,60606,Human Resources Specialists,HUMAN RESOURCES GENERALIST,Y,1,CHICAGO,IL,,
"NEBO SYSTEMS, INC.",1 S. 450 SUMMIT AVENUE,OAKBROOK TERRACE,IL,60181,"Software Developers, Applications",SOFTWARE DEVELOPER,Y,1,OAKBROOK TERRACE,IL,,
DFS SERVICES LLC,2500 LAKE COOK ROAD,RIVERWOODS,IL,60015,Statisticians,"CONSULTANT, PORTFOLIO ANALYSIS",Y,1,RIVERWOODS,IL,,
MOLTOPASSION PRODUCTION,1744 E 55TH ST,CHICAGO,IL,60615,"Media and Communication Workers, All Other",MEDIA AND COMMUNICATIONS SPECIALIST,Y,1,CHICAGO,IL,,
UIS CONSULTING LLC,1635 W. WISE ROAD SUITE 9,SCHAUMBURG,IL,60193,Computer Systems Analysts,COMPUTER SYSTEM ANALYST,Y,1,SCHAUMBURG,IL,,
"CES USA, INC.",235 REMINGTON BLVD.,BOLINGBROOK,IL,60440,Computer Programmers,SOFTWARE PROGRAMMER,Y,1,BOLINGBROOK,IL,,
"JONES LANG LASALLE AMERICAS, INC.",200 E RANDOLPH ST,CHICAGO,IL,60601,Financial Analysts,TREASURY ASSOCIATE,Y,1,CHICAGO,IL,,
"SEARS GLOBAL TECHNOLOGY SERVICES, LLC",3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,"Software Developers, Systems Software",TECHNICAL ARCHITECT / SYSTEM ARCHITECT,Y,5,HOFFMAN ESTATES,IL,,
ADRIAN SMITH + GORDON GILL ARCHITECTURE LLP,"111 WEST MONROE STREET, SUITE 2300",CHICAGO,IL,60603,"Architects, Except Landscape and Naval",INTERN ARCHITECT,Y,1,CHICAGO,IL,,
NORTHEAST NEPHROLOGY CONSULTANTS LTD.,"3100 THEODORE STREET, 2ND FLOOR",JOLIET,IL,60435,"Internists, General",PHYSICIAN / NEPHROLOGIST,Y,1,JOLIET,IL,NEW LENNOX,IL
SEARS HOLDINGS MANAGEMENT CORPORATION,3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,Marketing Managers,"MANAGER, LOYALTY PROGRAMS",Y,1,HOFFMAN ESTATES,IL,,
UNIVERSITY OF ILLINOIS,352 HENRY ADMINISTRATION BUILDING,URBANA,IL,61801,"Engineering Teachers, Postsecondary",ASSISTANT PROFESSOR,Y,1,URBANA,IL,,
KOMATSU AMERICA CORP,ONE CONTINENTAL TOWERS 1701 W. GOLF RD,ROLLING MEADOWS,IL,60008,Mechanical Engineers,DESIGN ENGINEER,Y,1,PEORIA,IL,,
SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,1265 LINCOLN DRIVE,CARBONDALE,IL,62901,"Educational, Guidance, School, and Vocational Coun",GRADUATE ACADEMIC ADVISOR,N,1,CARBONDALE,IL,,
MERLETTO INCORPORATED,2372 WEST INDIAN TRAIL,AURORA,IL,60506,"Engineering Technicians, Except Drafters, All Othe",INDUSTRIAL ENGINEERING TECHNOLOGIST,Y,1,AURORA,IL,,
MERLETTO INCORPORATED,2372 WEST INDIAN TRAIL,AURORA,IL,60506,"Computer Occupations, All Other",TECHNOLOGY ENGINEER,Y,1,AURORA,IL,,
"MAQBOOL AHMAD, M.D., LTD.",1200 W. DEYOUNG,MARION,IL,62959,"Internists, General",ENDOCRINOLOGIST,Y,1,MARION,IL,,
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,327 WEST CALHOUN AVENUE,SPRINGFIELD,IL,62794,"Internists, General",ASSISTANT PROFESSOR OF CLINICAL INTERNAL MEDICINE,Y,1,SPRINGFIELD,IL,,
NUFARM AMERICAS INC,11901 SOUTH AUSTIN AVENUE,ALSIP,IL,60803,Network and Computer Systems Administrators,INFRASTRUCTURE LEAD,Y,1,ALSIP,IL,,
